Material        ,  Type     ,   Conversion
Gold,               24k,            99.9%
Gold,               22k,            91.7%
Gold,               18k,            75.0%
Gold,               14k,            58.3%
Gold,               12k,            50.0%
Gold,               10K,            41.7%
Gold,               9k,             37.5%
Sliver,             999,            99.9%
Sliver,             958,            95.80%
Sliver,             925,            92.50%
Sliver,             800,            80%
Sliver,             700,            70%
